timestamp,yaw,pitch,roll,ecg_raw,ecg_filtered,heart_rate,packet_counter
2025-07-21T12:37:46.420856,1.6675451725465323e-43,-2.534230289229386e+37,-1.8213580893174254e+31,5.121471483412803e-23,5.1009855974791555e-24,0,0
2025-07-21T12:37:46.430084,1.7796490496925177e-43,2.8836919765460228e-37,-9.48240194702521e-05,6.530507779156895e-37,4.060384535593478e-24,0,0
2025-07-21T12:37:46.437871,1.961817850054744e-43,2.8836919765460228e-37,-9.48240194702521e-05,6.530507779156895e-37,8.328970899333643e-24,0,0
2025-07-21T12:37:46.445264,2.1860256043467146e-43,2.8836919765460228e-37,-9.48240194702521e-05,6.530507779156895e-37,6.622531739763251e-24,0,0
2025-07-21T12:37:46.452624,2.4102333586386854e-43,9.612788724841572e-36,2.48037694231001e+37,-5.7537927590330525e+23,-5.730777587996921e+22,0,0
2025-07-21T12:37:46.459689,2.634441112930656e-43,9.612788724841572e-36,2.48037694231001e+37,-5.7537927590330525e+23,-1.029247654804247e+23,0,0
2025-07-21T12:37:46.466488,2.872661851865875e-43,5.317789506326176e-35,-2.866547479493777e+30,-8533146624.0,-1.3919004298168414e+23,0,0
2025-07-21T12:37:46.473673,3.0968696061578457e-43,5.317789506326176e-35,-2.866547479493777e+30,-8533146624.0,-1.679748640603023e+23,0,0
2025-07-21T12:37:46.480566,3.3210773604498165e-43,5.317789506326176e-35,-2.866547479493777e+30,-8533146624.0,-1.3346845372452867e+23,0,0
2025-07-21T12:37:46.487692,3.545285114741787e-43,2.694600394069315e-35,1.543443498008834e-11,-148.73532104492188,-1.0586697120600376e+23,0,0
2025-07-21T12:37:46.495152,3.769492869033758e-43,2.694600394069315e-35,1.543443498008834e-11,-148.73532104492188,-8.378941635827833e+22,0,0
2025-07-21T12:37:46.502632,4.007713607968977e-43,4.846342803249512e-36,29356164.0,-0.004189639817923307,-6.613098912252322e+22,0,0
2025-07-21T12:37:46.510097,4.2319213622609476e-43,4.846342803249512e-36,29356164.0,-0.004189639817923307,-5.200784950977553e+22,0,0
2025-07-21T12:37:46.517425,4.456129116552918e-43,4.846342803249512e-36,29356164.0,-0.004189639817923307,-4.071292558673035e+22,0,0
2025-07-21T12:37:46.524896,4.680336870844889e-43,3.622967720617852e-37,-4.080289528474168e-08,-0.0002209292579209432,-3.1680559864378565e+22,0,0
2025-07-21T12:37:46.532032,4.90454462513686e-43,3.622967720617852e-37,-4.080289528474168e-08,-0.0002209292579209432,-2.4458226408917156e+22,0,0
2025-07-21T12:37:46.539295,5.142765364072079e-43,3.0416203313452183e-38,1.217475290995609e-38,-0.0008518584072589874,-1.8683904530478373e+22,0,0
2025-07-21T12:37:46.546755,5.366973118364049e-43,3.0416203313452183e-38,1.217475290995609e-38,-0.0008518584072589874,-1.4067977734113968e+22,0,0
2025-07-21T12:37:46.554006,5.59118087265602e-43,-1.2647915917704987e+38,2.0889951385148162e-16,-0.0037909895181655884,-1.037875288058352e+22,0,0
2025-07-21T12:37:46.561744,5.815388626947991e-43,-1.2647915917704987e+38,2.0889951385148162e-16,-0.0037909895181655884,-7.43087551498599e+21,0,0
2025-07-21T12:37:46.569107,6.0395963812399616e-43,-1.2647915917704987e+38,2.0889951385148162e-16,-0.0037909895181655884,-5.07606212966589e+21,0,0
2025-07-21T12:37:46.576598,6.2778171201751805e-43,-4.446715481504592e+35,0.0031962546054273844,-2.1580723114311695e-05,-3.1956859745391015e+21,0,0
2025-07-21T12:37:46.583948,6.502024874467151e-43,-4.446715481504592e+35,0.0031962546054273844,-2.1580723114311695e-05,-1.6948457053544456e+21,0,0
2025-07-21T12:37:46.591565,6.726232628759122e-43,-2.9524374760940605e+32,26.902956008911133,-2.728859271883266e-08,-4.97620302303828e+20,0,0
2025-07-21T12:37:46.598820,6.950440383051093e-43,-2.9524374760940605e+32,26.902956008911133,-2.728859271883266e-08,4.5672699508874727e+20,0,0
2025-07-21T12:37:46.607438,7.188661121986312e-43,-2.9524374760940605e+32,26.902956008911133,-2.728859271883266e-08,1.2167855400550804e+21,0,0
2025-07-21T12:37:46.614328,7.412868876278282e-43,-2.3725924788574357e+27,4.316035973062071e-09,-6.298051857811515e-09,1.8214267602522105e+21,0,0
2025-07-21T12:37:46.621390,7.637076630570253e-43,-2.3725924788574357e+27,4.316035973062071e-09,-6.298051857811515e-09,2.301747743097082e+21,0,0
2025-07-21T12:37:46.628679,7.861284384862224e-43,-1.0630656848415508e+21,6.014938677603445e-25,-4.325233504687276e-10,2.6826261040333985e+21,0,0
2025-07-21T12:37:46.635755,8.085492139154194e-43,-1.0630656848415508e+21,6.014938677603445e-25,-4.325233504687276e-10,2.983963881144228e+21,0,0
2025-07-21T12:37:46.642790,8.323712878089413e-43,-138645839282176.0,-2.3035488755635114e+23,-1.6129407531817463e-10,3.221682650841222e+21,0,0
2025-07-21T12:37:46.649839,8.547920632381384e-43,-138645839282176.0,-2.3035488755635114e+23,-1.6129407531817463e-10,3.408519620415114e+21,0,0
2025-07-21T12:37:46.656824,8.772128386673355e-43,-138645839282176.0,-2.3035488755635114e+23,-1.6129407531817463e-10,3.5546645020752583e+21,0,0
2025-07-21T12:37:46.663797,8.996336140965326e-43,-659931136.0,-0.4638538658618927,-2.3468030904000292e-12,3.668269012180401e+21,0,0
2025-07-21T12:37:46.671065,9.220543895257296e-43,-659931136.0,-0.4638538658618927,-2.3468030904000292e-12,3.7558544706224353e+21,0,0
2025-07-21T12:37:46.677960,9.458764634192515e-43,-92416.0,-28025986.0,-1.1291848332225669e-17,3.82263788033255e+21,0,0
