timestamp,raw_data_hex,parsed_value,data_type
2025-07-21T10:52:08.652026,54454d503a202b32362e37350d0a4143435f583a202d3138382c204143435f593a203439392c204143435f5a3a202d3833390d0a4759525f583a202d32363436302c204759525f593a202d353838302c204759525f5a3a20353831300d0a4d41475f583a202d3330342c204d41475f593a2031362c204d41475f5a3a202d3538380d0a515641523a20302e38380d0a,"TEMP: +26.75
ACC_X: -188, ACC_Y: 499, ACC_Z: -839
GYR_X: -26460, GYR_Y: -5880, GYR_Z: 5810
MAG_X: -304, MAG_Y: 16, MAG_Z: -588
QVAR: 0.88",ascii
2025-07-21T10:52:08.652026,54454d503a202b32362e37350d0a4143435f583a202d3138382c204143435f593a203439392c204143435f5a3a202d3833390d0a4759525f583a202d32363436302c204759525f593a202d353838302c204759525f5a3a20353831300d0a4d41475f583a202d3330342c204d41475f593a2031362c204d41475f5a3a202d3538380d0a515641523a20302e38380d0a,1347241300,int32
2025-07-21T10:52:08.652026,54454d503a202b32362e37350d0a4143435f583a202d3138382c204143435f593a203439392c204143435f5a3a202d3833390d0a4759525f583a202d32363436302c204759525f593a202d353838302c204759525f5a3a20353831300d0a4d41475f583a202d3330342c204d41475f593a2031362c204d41475f5a3a202d3538380d0a515641523a20302e38380d0a,17748,int16
2025-07-21T10:52:09.142924,54696d655374616d703a206c640d0a50524553533a20313031322e38380d0a4143435f583a202d3131362c204143435f593a203230342c204143435f5a3a202d3938380d0a4759525f583a2035393433302c204759525f593a2032383134302c204759525f5a3a20323033300d0a4d41475f583a202d3137312c204d41475f593a203133332c204d41475f5a3a202d3639300d0a515641523a20302e37380d0a,"TimeStamp: ld
PRESS: 1012.88
ACC_X: -116, ACC_Y: 204, ACC_Z: -988
GYR_X: 59430, GYR_Y: 28140, GYR_Z: 2030
MAG_X: -171, MAG_Y: 133, MAG_Z: -690
QVAR: 0.78",ascii
2025-07-21T10:52:09.142924,54696d655374616d703a206c640d0a50524553533a20313031322e38380d0a4143435f583a202d3131362c204143435f593a203230342c204143435f5a3a202d3938380d0a4759525f583a2035393433302c204759525f593a2032383134302c204759525f5a3a20323033300d0a4d41475f583a202d3137312c204d41475f593a203133332c204d41475f5a3a202d3639300d0a515641523a20302e37380d0a,1701669204,int32
2025-07-21T10:52:09.142924,54696d655374616d703a206c640d0a50524553533a20313031322e38380d0a4143435f583a202d3131362c204143435f593a203230342c204143435f5a3a202d3938380d0a4759525f583a2035393433302c204759525f593a2032383134302c204759525f5a3a20323033300d0a4d41475f583a202d3137312c204d41475f593a203133332c204d41475f5a3a202d3639300d0a515641523a20302e37380d0a,26964,int16
2025-07-21T10:52:09.649287,54696d655374616d703a206c640d0a54454d503a202b32362e37350d0a4143435f583a202d362c204143435f593a202d38392c204143435f5a3a202d313031330d0a4759525f583a20353533302c204759525f593a20383631302c204759525f5a3a20323830300d0a4d41475f583a202d33332c204d41475f593a203233312c204d41475f5a3a202d3730360d0a515641523a20302e35300d0a,"TimeStamp: ld
TEMP: +26.75
ACC_X: -6, ACC_Y: -89, ACC_Z: -1013
GYR_X: 5530, GYR_Y: 8610, GYR_Z: 2800
MAG_X: -33, MAG_Y: 231, MAG_Z: -706
QVAR: 0.50",ascii
2025-07-21T10:52:09.649287,54696d655374616d703a206c640d0a54454d503a202b32362e37350d0a4143435f583a202d362c204143435f593a202d38392c204143435f5a3a202d313031330d0a4759525f583a20353533302c204759525f593a20383631302c204759525f5a3a20323830300d0a4d41475f583a202d33332c204d41475f593a203233312c204d41475f5a3a202d3730360d0a515641523a20302e35300d0a,1701669204,int32
2025-07-21T10:52:09.649287,54696d655374616d703a206c640d0a54454d503a202b32362e37350d0a4143435f583a202d362c204143435f593a202d38392c204143435f5a3a202d313031330d0a4759525f583a20353533302c204759525f593a20383631302c204759525f5a3a20323830300d0a4d41475f583a202d33332c204d41475f593a203233312c204d41475f5a3a202d3730360d0a515641523a20302e35300d0a,26964,int16
2025-07-21T10:52:10.146530,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a2039392c204143435f593a202d3332332c204143435f5a3a202d3938340d0a4759525f583a2032343135302c204759525f593a2031303731302c204759525f5a3a202d37300d0a4d41475f583a203131372c204d41475f593a202d32352c204d41475f5a3a202d3830380d0a515641523a20302e33370d0a,"TimeStamp: ld
PRESS: 1012.84
ACC_X: 99, ACC_Y: -323, ACC_Z: -984
GYR_X: 24150, GYR_Y: 10710, GYR_Z: -70
MAG_X: 117, MAG_Y: -25, MAG_Z: -808
QVAR: 0.37",ascii
2025-07-21T10:52:10.146530,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a2039392c204143435f593a202d3332332c204143435f5a3a202d3938340d0a4759525f583a2032343135302c204759525f593a2031303731302c204759525f5a3a202d37300d0a4d41475f583a203131372c204d41475f593a202d32352c204d41475f5a3a202d3830380d0a515641523a20302e33370d0a,1701669204,int32
2025-07-21T10:52:10.146530,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a2039392c204143435f593a202d3332332c204143435f5a3a202d3938340d0a4759525f583a2032343135302c204759525f593a2031303731302c204759525f5a3a202d37300d0a4d41475f583a203131372c204d41475f593a202d32352c204d41475f5a3a202d3830380d0a515641523a20302e33370d0a,26964,int16
2025-07-21T10:52:10.655974,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203133342c204143435f593a202d3336362c204143435f5a3a202d3934350d0a4759525f583a2031313632302c204759525f593a202d323733302c204759525f5a3a20393435300d0a4d41475f583a203139322c204d41475f593a202d3136352c204d41475f5a3a202d3837390d0a515641523a20302e33390d0a,"TimeStamp: ld
TEMP: +26.76
ACC_X: 134, ACC_Y: -366, ACC_Z: -945
GYR_X: 11620, GYR_Y: -2730, GYR_Z: 9450
MAG_X: 192, MAG_Y: -165, MAG_Z: -879
QVAR: 0.39",ascii
2025-07-21T10:52:10.655974,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203133342c204143435f593a202d3336362c204143435f5a3a202d3934350d0a4759525f583a2031313632302c204759525f593a202d323733302c204759525f5a3a20393435300d0a4d41475f583a203139322c204d41475f593a202d3136352c204d41475f5a3a202d3837390d0a515641523a20302e33390d0a,1701669204,int32
2025-07-21T10:52:10.655974,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203133342c204143435f593a202d3336362c204143435f5a3a202d3934350d0a4759525f583a2031313632302c204759525f593a202d323733302c204759525f5a3a20393435300d0a4d41475f583a203139322c204d41475f593a202d3136352c204d41475f5a3a202d3837390d0a515641523a20302e33390d0a,26964,int16
2025-07-21T10:52:11.152255,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a203135302c204143435f593a202d3432362c204143435f5a3a202d3839330d0a4759525f583a203536302c204759525f593a202d323636302c204759525f5a3a20313437300d0a4d41475f583a203233352c204d41475f593a202d3139302c204d41475f5a3a202d3931380d0a515641523a20302e33320d0a,"TimeStamp: ld
PRESS: 1012.84
ACC_X: 150, ACC_Y: -426, ACC_Z: -893
GYR_X: 560, GYR_Y: -2660, GYR_Z: 1470
MAG_X: 235, MAG_Y: -190, MAG_Z: -918
QVAR: 0.32",ascii
2025-07-21T10:52:11.152255,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a203135302c204143435f593a202d3432362c204143435f5a3a202d3839330d0a4759525f583a203536302c204759525f593a202d323636302c204759525f5a3a20313437300d0a4d41475f583a203233352c204d41475f593a202d3139302c204d41475f5a3a202d3931380d0a515641523a20302e33320d0a,1701669204,int32
2025-07-21T10:52:11.152255,54696d655374616d703a206c640d0a50524553533a20313031322e38340d0a4143435f583a203135302c204143435f593a202d3432362c204143435f5a3a202d3839330d0a4759525f583a203536302c204759525f593a202d323636302c204759525f5a3a20313437300d0a4d41475f583a203233352c204d41475f593a202d3139302c204d41475f5a3a202d3931380d0a515641523a20302e33320d0a,26964,int16
2025-07-21T10:52:11.658587,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203132332c204143435f593a202d3432302c204143435f5a3a202d3931320d0a4759525f583a203134302c204759525f593a203931302c204759525f5a3a203134300d0a4d41475f583a203233322c204d41475f593a202d3138372c204d41475f5a3a202d3931390d0a515641523a20302e32300d0a,"TimeStamp: ld
TEMP: +26.76
ACC_X: 123, ACC_Y: -420, ACC_Z: -912
GYR_X: 140, GYR_Y: 910, GYR_Z: 140
MAG_X: 232, MAG_Y: -187, MAG_Z: -919
QVAR: 0.20",ascii
2025-07-21T10:52:11.658587,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203132332c204143435f593a202d3432302c204143435f5a3a202d3931320d0a4759525f583a203134302c204759525f593a203931302c204759525f5a3a203134300d0a4d41475f583a203233322c204d41475f593a202d3138372c204d41475f5a3a202d3931390d0a515641523a20302e32300d0a,1701669204,int32
2025-07-21T10:52:11.658587,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203132332c204143435f593a202d3432302c204143435f5a3a202d3931320d0a4759525f583a203134302c204759525f593a203931302c204759525f5a3a203134300d0a4d41475f583a203233322c204d41475f593a202d3138372c204d41475f5a3a202d3931390d0a515641523a20302e32300d0a,26964,int16
2025-07-21T10:52:12.154981,54696d655374616d703a206c640d0a50524553533a20313031322e39300d0a4143435f583a203138322c204143435f593a202d3336342c204143435f5a3a202d3937310d0a4759525f583a20313236302c204759525f593a202d3737302c204759525f5a3a20373238300d0a4d41475f583a203139332c204d41475f593a202d3230312c204d41475f5a3a202d3930390d0a515641523a20302e31320d0a,"TimeStamp: ld
PRESS: 1012.90
ACC_X: 182, ACC_Y: -364, ACC_Z: -971
GYR_X: 1260, GYR_Y: -770, GYR_Z: 7280
MAG_X: 193, MAG_Y: -201, MAG_Z: -909
QVAR: 0.12",ascii
2025-07-21T10:52:12.154981,54696d655374616d703a206c640d0a50524553533a20313031322e39300d0a4143435f583a203138322c204143435f593a202d3336342c204143435f5a3a202d3937310d0a4759525f583a20313236302c204759525f593a202d3737302c204759525f5a3a20373238300d0a4d41475f583a203139332c204d41475f593a202d3230312c204d41475f5a3a202d3930390d0a515641523a20302e31320d0a,1701669204,int32
2025-07-21T10:52:12.154981,54696d655374616d703a206c640d0a50524553533a20313031322e39300d0a4143435f583a203138322c204143435f593a202d3336342c204143435f5a3a202d3937310d0a4759525f583a20313236302c204759525f593a202d3737302c204759525f5a3a20373238300d0a4d41475f583a203139332c204d41475f593a202d3230312c204d41475f5a3a202d3930390d0a515641523a20302e31320d0a,26964,int16
2025-07-21T10:52:12.656751,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203131392c204143435f593a202d3337362c204143435f5a3a202d3930350d0a4759525f583a20373536302c204759525f593a20313832302c204759525f5a3a20343230300d0a4d41475f583a203230382c204d41475f593a202d3139332c204d41475f5a3a202d3931330d0a515641523a20302e32300d0a,"TimeStamp: ld
TEMP: +26.76
ACC_X: 119, ACC_Y: -376, ACC_Z: -905
GYR_X: 7560, GYR_Y: 1820, GYR_Z: 4200
MAG_X: 208, MAG_Y: -193, MAG_Z: -913
QVAR: 0.20",ascii
2025-07-21T10:52:12.656751,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203131392c204143435f593a202d3337362c204143435f5a3a202d3930350d0a4759525f583a20373536302c204759525f593a20313832302c204759525f5a3a20343230300d0a4d41475f583a203230382c204d41475f593a202d3139332c204d41475f5a3a202d3931330d0a515641523a20302e32300d0a,1701669204,int32
2025-07-21T10:52:12.656751,54696d655374616d703a206c640d0a54454d503a202b32362e37360d0a4143435f583a203131392c204143435f593a202d3337362c204143435f5a3a202d3930350d0a4759525f583a20373536302c204759525f593a20313832302c204759525f5a3a20343230300d0a4d41475f583a203230382c204d41475f593a202d3139332c204d41475f5a3a202d3931330d0a515641523a20302e32300d0a,26964,int16
